brand,store_name,lat,lng
"サークルK","富士宮穂波",35.2336263,138.5962162
"サークルK","清水三保",35.0079551,138.5200109
"サークルK","豊橋西部団地",34.7481848,137.3693325
"サークルK","清水宮代",35.0247027,138.4838662
"サークルK","長泉町北口",35.1275431,138.9068063
"サークルK","三河くろぜ",34.9929289,137.5592474
"サークルK","金谷東町",34.8274727,138.137809
"サークルK","静岡敷地",34.9503095,138.4164252
"サークルK","富士宮西小泉",35.222956,138.6278451
"サークルK","藤枝駅南通り",34.8431991,138.2552525
"サークルK","豊川大堀",34.8362349,137.4015757
"サークルK","豊橋本興寺",34.7479715,137.410718
"サークルK","田原西屋敷",34.6638979,137.2583146
"サークルK","浅羽松原",34.6887258,137.9188086
"サークルK","島田野田",34.8456276,138.1818795
"サークルK","伊豆修善寺",34.974322,138.935739
"サークルK","富士宮浅間",35.2178842,138.6099158
"サークルK","浜松豊",34.7821698,137.8074945
"サークルK","掛川本郷",34.8093505,137.9561739
"サークルK","富士宮朝霧",35.3855567,138.5730031
"サークルK","三島柳郷地",35.115281,138.9400931
"サークルK","裾野伊豆島田",35.1538572,138.9050862
"サークルK","島田川根町",34.9448683,138.0891776
"サークルK","焼津小川港",34.8482688,138.3240486
"サークルK","袋井延久",34.7613926,137.8964881
"サークルK","渥美小塩津",34.5925326,137.0925626
"サークルK","豊橋浜道",34.7197805,137.4094744
"サークルK","由比町屋原",35.1047174,138.5566064
"サークルK","長泉町上土狩",35.1428474,138.9047868
"サークルK","藤枝大東町",34.8257204,138.2763536
"サークルK","袋井山科",34.7687809,137.9016153
"サークルK","吉田インター",34.7924953,138.2404581
"サークルK","富士広見",35.1817195,138.6916027
"サークルK","裾野御宿",35.2031569,138.9040031
"サークルK","浜松西神田",34.6891958,137.7197733
"サークルK","豊橋平川",34.7615283,137.4220275
"サークルK","森町円田",34.8197556,137.9076924
"サークルK","袋井新池",34.7306152,137.914388
"サークルK","沼津片浜",35.1208673,138.8216027
"サークルK","浜松西本郷",34.6943404,137.7612684
"サークルK","磐田二之宮東",34.7122832,137.8589934
"サークルK","芝川町役場前",35.1992074,138.5604208
"サークルK","静岡昭府町",35.003703,138.3714375
"サークルK","浜松入野",34.7004067,137.6997882
"サークルK","掛川上内田",34.7411523,138.040867
"サークルK","掛川鳥居",34.7723931,137.9947794
"サークルK","榛原中川根町",35.0346996,138.0821381
"サークルK","沼津沼平",35.1111912,138.8733908
"サークルK","磐田西貝塚",34.7181549,137.8751918
"サークルK","松崎町松崎",34.7503372,138.7785763
"サークルK","静岡呉服町",34.9749752,138.3820379
"サークルK","静岡新間",34.9861068,138.3084355
"サークルK","浜松篠ヶ瀬",34.7253723,137.7757887
"サークルK","大東国包",34.6683365,138.0648784
"サークルK","蒲原本町",35.1187747,138.6037129
"サークルK","舘山寺温泉",34.7639264,137.6148083
"サークルK","富士依田橋東",35.1488232,138.7008034
"サークルK","富士宮東小泉",35.2132463,138.6417134
"サークルK","浜松古人見",34.7314493,137.6386299
"サークルK","賀茂宇久須",34.8492966,138.7773269
"サークルK","掛川長谷",34.7684156,137.9950546
"サークルK","焼津石津中町",34.8427244,138.3234549
"サークルK","浜松野口",34.713142,137.7375535
"サークルK","静岡足久保",35.0420898,138.3659252
"サークルK","静岡牛妻",35.0586271,138.370435
"サークルK","浜北中瀬",34.837009,137.8097218
"サークルK","豊橋石巻本町",34.8076987,137.4427126
"サークルK","豊橋東三ノ輪",34.7538629,137.4111177
"サークルK","竜洋豊岡",34.6727286,137.8096504
"サークルK","焼津惣右衛門",34.8180748,138.311251
"サークルK","牛川田ノ上",34.7764206,137.4150284
"サークルK","豊橋豊清",34.715746,137.4684587
"サークルK","長泉中土狩",35.1362372,138.9096867
"サークルK","大井川高新田",34.8013065,138.3053523
"サークルK","豊橋高師本郷",34.7150828,137.393221
"サークルK","田原六連",34.6509447,137.3399394
"サークルK","豊川柑子町",34.8057071,137.3979164
"サークルK","清水吉川",35.0179559,138.4553568
"サークルK","松崎町那賀",34.754296,138.7948788
"サークルK","裾野岩波",35.2173787,138.92059
"サークルK","湖西中",34.7163905,137.501295
"サークルK","藤枝立花",34.8720732,138.2672462
"サークルK","静岡紺屋町",34.9729645,138.3845378
"サークルK","浜北芝本",34.8243621,137.7981723
"サークルK","吉田下川原",34.7806155,138.2401476
"サークルK","下田西中",34.6890716,138.9427905
"サークルK","気賀南",34.7965655,137.649307
"サークルK","三ヶ日中",34.803929,137.5515338
"サークルK","裾野せぎ原",35.1600735,138.9037531
"サークルK","浜松大浜街道",34.69645,137.7495533
"サークルK","浜松天龍川町",34.718823,137.7752671
"サークルK","菊川駅東",34.7627849,138.0915718
"サークルK","浜松下石田",34.7411988,137.7823015
"サークルK","静岡手越原",34.9508385,138.3631406
"サークルK","静岡七間町",34.9726255,138.3801272
"サークルK","島田横井",34.8284792,138.1698843
"サークルK","御殿場永原",35.2852736,138.9278783
"サークルK","豊橋仲ノ町",34.7574426,137.4133454
"サークルK","磐田インター",34.7449467,137.857931
"サークルK","河津笹原",34.7505549,138.9923976
"サークルK","静岡福田ヶ谷",35.023359,138.3760362
"サークルK","清水永楽町",35.0244815,138.473619
"サークルK","浜松早出南",34.7250219,137.749402
"サークルK","相良女神",34.7041038,138.1859667
"サークルK","長泉鮎壺",35.135442,138.894488
"サークルK","藤枝堀之内",34.8743613,138.2251166
"サークルK","南伊豆下賀茂",34.6507883,138.8640128
"サークルK","御殿場ぐみ沢",35.3053603,138.920628
"サークルK","豊橋下条",34.7995492,137.4213178
"サークルK","豊橋東脇",34.754742,137.3651105
"サークルK","御殿場北久原",35.318679,138.9300516
"サークルK","豊川城下",34.8059479,137.3827957
"サークルK","浜松上島三丁目",34.7397863,137.7473434
"サークルK","藤枝上藪田",34.8899711,138.2560413
"サークルK","豊橋神野南",34.7401382,137.3441129
"サークルK","清水鳥坂",35.0190335,138.4384752
"サークルK","袋井愛野駅南",34.7505639,137.9617581
"サークルK","焼津田尻",34.8295118,138.3251883
"サークルK","浜松中田島",34.6644142,137.7399835
"サークルK","豊川三谷原",34.8180861,137.4133646
"サークルK","函南平井",35.1017059,138.9678724
"サークルK","豊橋小向",34.7667296,137.3582655
"サークルK","島田岸町",34.8437723,138.212616
"サークルK","豊橋西橋良",34.7517536,137.3805314
"サークルK","豊川中条",34.8131472,137.3911277
"サークルK","沼津小諏訪",35.1111297,138.8407905
"サークルK","御殿場兎島",35.2387283,138.9109208
"サークルK","豊田町弥藤太島",34.7248512,137.8227239
"サークルK","新城とよさか",34.8926962,137.474788
"サークルK","豊川谷川",34.8299347,137.4083255
"サークルK","三方原PA",34.7579982,137.7381094
"サークルK","西岩田",34.7515714,137.4222919
"サークルK","浜松白羽町",34.6779067,137.7326865
"サークルK","豊川寿通",34.8112171,137.3743291
"サークルK","豊橋曙",34.7262157,137.4012388
"サークルK","浜松庄和町",34.7455862,137.6032132
"サークルK","豊橋南栄",34.7344535,137.3848238
"サークルK","浜松西高丘",34.7587893,137.6920472
"サークルK","湖西鷲津",34.7117668,137.5478443
"サークルK","函南塚本",35.075783,138.9294268
"サークルK","富士本吉原",35.1627826,138.6921115
"サークルK","浜松インター南",34.7336017,137.7879344
"サークルK","静岡登呂六丁目",34.9545278,138.4050369
"サークルK","静岡千代田七丁目",35.0021337,138.4029429
"サークルK","新浜北小松",34.7931341,137.7781884
"サークルK","大東国安",34.6546259,138.0593715
"サークルK","静岡曲金六丁目",34.9803842,138.4118382
"サークルK","焼津小川",34.851279,138.2990785
"サークルK","藤枝小石川町",34.8569668,138.2647611
"サークルK","新城一鍬田",34.8798247,137.4849308
"サークルK","細江西気賀",34.8017227,137.6325721
"サークルK","小笠赤土",34.6904207,138.0954578
"サークルK","沼津上石田",35.1180497,138.8834147
"サークルK","蒲郡ふそう",34.8222495,137.2355482
"サークルK","浜松丸塚町",34.7284268,137.7631737
"サークルK","静岡江川通り",34.9736844,138.3849707
"サークルK","富士厚原",35.1859995,138.6603021
"サークルK","豊橋一里山",34.6976113,137.486725
"サークルK","豊橋緑ヶ丘",34.7778017,137.4322039
"サークルK","静岡鷹匠三丁目",34.9800668,138.3886261
"サークルK","豊橋大清水",34.7038082,137.3501361
"サークルK","豊川牛久保駅通",34.8191403,137.3764306
"サークルK","浜北新原本村",34.8142429,137.7789674
"サークルK","豊橋問屋町",34.7616607,137.3333208
"サークルK","浜松常盤町",34.7098532,137.7308402
"サークルK","袋井愛野駅北",34.7530056,137.9604271
"サークルK","藤枝横内",34.9007125,138.2855493
"サークルK","沼津西沢田",35.118721,138.8462207
"サークルK","掛川成滝",34.7780121,138.0290013
"サークルK","静岡おしか",34.9712484,138.4258234
